id_client,Surname,Pays,Sexe,Age,Score_Credit,Avoirs,Revenus_annuels,Carte_Platine,Nb_Contrats_Vie,Client_Patrimonial,Anciennete,Resiliation
11512,Bevan,France,Male,37.0,791.0,337578.98,"161665,06",1.0,2.0,,7.0,0
9855,Ross,France,Female,28.0,480.0,10000.0,"106263,84",0.0,2.0,0.0,19.0,0
12476,Wu,France,Female,30.0,633.0,10000.0,"93284,58",0.0,2.0,0.0,19.0,0
3744,Woods,Germany,Female,41.0,677.0,303441.96,"18391,68",1.0,2.0,,25.0,0
8071,Christie,France,Female,44.0,757.0,256644.3,"284272,58",1.0,1.0,0.0,13.0,0
17931,Tretiakov,Germany,Female,,645.0,267855.86,"15700,02",1.0,1.0,1.0,4.0,0
33327,McDonald,Germany,Male,55.0,434.0,228678.34,"202811,76",1.0,2.0,,25.0,1
21671,Webb,Germany,Female,26.0,703.0,204662.38,"137434,97999999998",1.0,1.0,0.0,4.0,0
18000,Docherty,France,Female,27.0,730.0,10000.0,"298198,96",1.0,2.0,0.0,22.0,0
25214,Nicholls,,Male,27.0,697.0,292447.36,"191182,3",1.0,2.0,0.0,25.0,0
20246,Bellew,France,Male,28.0,727.0,10000.0,"49306,16",0.0,2.0,1.0,16.0,0
25959,Hunter,Spain,Male,39.0,694.0,10000.0,"201250,06",1.0,1.0,1.0,10.0,0
33147,Yevdokimova,France,Male,37.0,609.0,88689.66,"366583,78",1.0,1.0,1.0,,1
27589,Nkemjika,Germany,Male,28.0,850.0,212200.44,"80674,62",,2.0,1.0,7.0,0
18195,Plant,Spain,Female,32.0,765.0,366191.1,"104495,12",0.0,1.0,0.0,28.0,0
18019,Kung,Germany,Male,51.0,647.0,272313.52,"69767,26000000001",1.0,1.0,0.0,13.0,0
7280,Severson,France,Female,43.0,755.0,10000.0,"46133,38",1.0,,,28.0,0
5394,Hughes,France,Male,52.0,573.0,10000.0,"366458,08",0.0,2.0,1.0,25.0,0
1693,Mai,France,Female,32.0,624.0,168737.74,nan,1.0,2.0,1.0,7.0,0
8351,Lennox,Germany,Male,58.0,558.0,295074.36,"187583,66",1.0,1.0,1.0,7.0,0
28373,Labrador,France,Female,32.0,668.0,10000.0,"91304,66",1.0,2.0,1.0,,0
28835,Chinonyelum,,,66.0,615.0,10000.0,"159161,6",1.0,2.0,1.0,22.0,0
29974,Craig,Spain,Female,40.0,618.0,10000.0,"170408,76",1.0,2.0,0.0,25.0,0
18776,Horan,France,Female,49.0,820.0,10000.0,"248174,5",1.0,2.0,1.0,4.0,0
31559,Trevisani,France,Male,40.0,694.0,10000.0,"90926,06",1.0,2.0,0.0,28.0,0
23422,Gilroy,France,,34.0,522.0,10000.0,"17788,68",1.0,2.0,1.0,10.0,0
25545,MacDonald,Spain,Male,27.0,604.0,212705.56,"70504,6",0.0,1.0,0.0,28.0,0
6831,Lorenzo,Spain,Male,36.0,792.0,194280.3,"144937,34",0.0,1.0,1.0,16.0,0
1232,Matthews,Spain,Female,40.0,557.0,10000.0,"220867,06",0.0,2.0,1.0,13.0,0
12093,Jen,Germany,Male,38.0,602.0,,"284223,78",0.0,2.0,0.0,7.0,0
7939,King,Germany,Female,28.0,648.0,190742.18,"303703,46",1.0,1.0,1.0,25.0,0
3398,Fraser,France,Female,40.0,604.0,10000.0,"256414,34",1.0,2.0,0.0,4.0,0
15959,Mordvinova,Spain,Female,27.0,782.0,10000.0,"297228,02",1.0,2.0,0.0,10.0,0
7900,Gilbert,France,Male,37.0,754.0,10000.0,"242283,44",1.0,1.0,1.0,19.0,0
5824,Welch,France,Female,38.0,535.0,281838.66,"170851,3",1.0,1.0,0.0,,0
27758,Yeh,Germany,Male,37.0,766.0,209320.26,"305401,56",0.0,2.0,1.0,7.0,0
17198,Yang,Germany,Male,28.0,637.0,257351.38,"342916,82",1.0,1.0,1.0,10.0,0
18965,Ikemefuna,Germany,Female,30.0,679.0,165899.38,"252302,92",1.0,1.0,1.0,13.0,0
11205,Lin,France,Male,32.0,593.0,208324.58,"266768,22",1.0,1.0,0.0,19.0,0
7668,Noble,France,Female,28.0,850.0,10000.0,"87547,48",1.0,2.0,1.0,7.0,0
14688,Brown,France,Female,33.0,579.0,141335.58,"339217,96",0.0,2.0,0.0,4.0,0
14995,Mouzon,Germany,Male,35.0,738.0,213489.68,"180370,88",0.0,1.0,0.0,19.0,0
4079,Bibi,Spain,Male,40.0,786.0,10000.0,"92497,6",0.0,2.0,0.0,19.0,0
7034,Yeh,Spain,Female,36.0,850.0,320361.12,"348831,08",0.0,2.0,0.0,7.0,0
2834,Holloway,France,Male,31.0,603.0,269487.5,"228290,4",1.0,1.0,0.0,4.0,0
10096,William,Germany,Male,29.0,616.0,308637.1,"291492,26",1.0,1.0,,25.0,0
9629,Liu,Germany,Male,33.0,667.0,259146.66,"11366,74",0.0,2.0,0.0,28.0,0
19577,Martin,France,Male,55.0,555.0,303597.62,"158299,54",1.0,,1.0,13.0,0
10473,Wickens,France,Male,26.0,642.0,10000.0,"104945,36",,1.0,0.0,1.0,0
13377,Tsou,France,Female,32.0,590.0,265526.48,"211435,08",1.0,1.0,0.0,1.0,0
5972,Eberechukwu,Spain,Male,35.0,719.0,255929.76,"286463,4",1.0,1.0,1.0,10.0,0
15545,Jacka,Spain,Female,46.0,593.0,163195.58,"118907,44",1.0,1.0,1.0,7.0,0
1014,Sun,Spain,Male,58.0,633.0,206617.02,"274068,26",1.0,1.0,1.0,19.0,0
813,Martin,Germany,Male,38.0,627.0,223845.84,"178540,18",0.0,2.0,1.0,25.0,0
9791,Uspenskaya,Germany,Male,37.0,634.0,189393.68,"396359,76",1.0,2.0,1.0,4.0,0
12499,Maconochie,Germany,Male,,527.0,284636.84,"262289,92000000004",1.0,1.0,1.0,10.0,0
20355,Sagese,France,Male,38.0,632.0,10000.0,"395011,24",0.0,2.0,0.0,13.0,0
29594,Artemieva,Germany,Male,74.0,733.0,223091.06,"279179,16",1.0,,1.0,10.0,0
4935,Congreve,Spain,Male,27.0,494.0,10000.0,"54809,28",1.0,2.0,0.0,7.0,0
29349,Chan,Germany,Male,35.0,754.0,207171.88,"222233,68",0.0,2.0,1.0,19.0,0
30492,Yao,Spain,Female,,655.0,10000.0,"181472,52",0.0,2.0,1.0,28.0,0
4259,McDonald,,Female,21.0,589.0,10000.0,"121202,88",0.0,2.0,1.0,10.0,0
8680,Evans,France,Female,44.0,741.0,10000.0,"391069,52",1.0,2.0,1.0,22.0,0
13884,Muir,France,Male,31.0,828.0,10000.0,"338514,74",0.0,,1.0,28.0,0
7952,Somerville,France,Female,31.0,759.0,229697.2,"94025,1",1.0,1.0,1.0,4.0,0
8287,Ifeanacho,Germany,Male,37.0,837.0,198003.22,"291446,1",1.0,2.0,,19.0,0
33089,Mazzi,France,,41.0,849.0,10000.0,"348407,02",1.0,2.0,1.0,19.0,1
9216,Okagbue,France,Female,41.0,600.0,10000.0,"192387,3",1.0,2.0,1.0,,0
5828,Ermakov,Germany,Male,36.0,850.0,215601.44,"184704,86",1.0,1.0,1.0,22.0,0
4203,Ts'ai,France,Female,30.0,680.0,292883.5,"42557,94",1.0,1.0,1.0,25.0,0
22459,Yobachi,France,Male,44.0,667.0,254555.74,"193621,42",1.0,1.0,,25.0,0
9346,Santiago,France,Female,31.0,710.0,10000.0,"234578,12",1.0,2.0,1.0,10.0,0
33860,Vincent,France,Female,46.0,516.0,134424.58000000002,"353363,72",0.0,1.0,1.0,19.0,1
28422,Lo Duca,France,Male,28.0,798.0,10000.0,"14610,54",1.0,2.0,0.0,10.0,0
22606,Mao,France,Male,41.0,632.0,222268.92,"221140,78",0.0,1.0,1.0,1.0,0
7267,Hardy,Germany,Male,48.0,733.0,181831.04,"57721,0",1.0,1.0,1.0,22.0,0
28382,Clark,France,Male,33.0,742.0,10000.0,"87100,8",0.0,2.0,0.0,19.0,0
4268,Hughes-Jones,,Female,41.0,496.0,362048.1,"374675,96",1.0,2.0,0.0,4.0,0
1028,Gether,Spain,Male,,837.0,219357.24,"111945,2",0.0,1.0,1.0,28.0,0
6324,Feng,Spain,Male,57.0,563.0,10000.0,"88594,96",1.0,2.0,1.0,19.0,0
6223,Thorpe,Germany,Male,22.0,642.0,233625.04,"376090,92",1.0,2.0,1.0,31.0,0
14332,Gardener,France,Female,,482.0,276223.46,"169915,9",0.0,1.0,1.0,7.0,0
6424,Olisanugo,France,Male,37.0,650.0,223934.36,"58990,06",0.0,1.0,0.0,16.0,0
309,Chinonyelum,,,66.0,615.0,10000.0,"159161,6",1.0,2.0,1.0,22.0,0
11139,Olisaemeka,Germany,Male,29.0,550.0,300588.16,nan,1.0,2.0,0.0,28.0,0
18819,T'ien,Spain,Male,36.0,657.0,10000.0,"257732,86",0.0,2.0,1.0,25.0,0
32168,Johnson,France,Female,45.0,649.0,195573.32,"356731,8",1.0,1.0,0.0,16.0,1
23152,H?,Spain,Male,30.0,776.0,10000.0,"137817,72",0.0,2.0,1.0,19.0,0
15147,Wong,Germany,Male,38.0,741.0,266031.66000000003,"126880,86",1.0,1.0,0.0,13.0,0
1650,Cheng,Spain,Male,34.0,,10000.0,"328622,92",1.0,2.0,0.0,16.0,0
32377,Shao,France,Female,37.0,739.0,10000.0,"393114,2",1.0,2.0,0.0,25.0,1
11954,Herz,France,Female,28.0,,259080.56,"387701,78",0.0,1.0,1.0,22.0,0
28878,Pisani,France,Female,28.0,850.0,220490.68,"159560,26",0.0,1.0,1.0,,0
5231,Verjus,France,Female,27.0,666.0,10000.0,"187502,9",0.0,2.0,0.0,13.0,0
27138,K'ung,Spain,Female,34.0,569.0,299710.68,"403110,64",0.0,1.0,0.0,19.0,0
28191,Ridley,France,Male,,698.0,281317.46,"89510,0",0.0,2.0,1.0,16.0,0
1407,Yao,Germany,Female,35.0,632.0,311122.06,"139445,22",0.0,2.0,0.0,7.0,0
11170,Yeh,France,Female,41.0,788.0,10000.0,"61142,74",1.0,1.0,1.0,19.0,0
32571,Chin,France,Male,41.0,,,"33566,2",1.0,1.0,1.0,22.0,1
20126,Reichard,Germany,Female,36.0,721.0,140506.14,"67475,56",1.0,2.0,0.0,10.0,0
6352,Piccio,France,Male,28.0,546.0,10000.0,"328508,58",1.0,1.0,0.0,25.0,0
33315,Kharlamov,Spain,Male,38.0,559.0,301748.7,"122622,78",1.0,1.0,0.0,10.0,1
10767,Turnbull,France,Female,49.0,433.0,10000.0,"185423,22",1.0,1.0,1.0,31.0,0
4925,Okwudilichukwu,Germany,,48.0,681.0,288960.36,"337163,34",1.0,1.0,1.0,25.0,0
5322,Yudina,France,Female,39.0,642.0,10000.0,"163642,48",,1.0,1.0,13.0,0
12166,Hsieh,Germany,Female,36.0,578.0,,"297367,5",1.0,1.0,1.0,25.0,0
12180,Fu,France,Male,32.0,645.0,10000.0,nan,0.0,2.0,1.0,13.0,0
1784,Martin,Spain,Female,39.0,734.0,195273.92,"261342,58",1.0,2.0,1.0,10.0,0
9428,Chien,France,,28.0,803.0,10000.0,"329308,0",1.0,2.0,0.0,10.0,0
6303,Chukwueloka,Spain,Female,31.0,560.0,260683.38,"169094,78",1.0,1.0,0.0,16.0,0
12751,Muravyova,Germany,Female,61.0,713.0,309050.68,"257327,26",1.0,2.0,0.0,13.0,0
21452,Service,France,Male,43.0,635.0,254396.42,"368289,08",0.0,2.0,1.0,31.0,0
20933,Azubuike,Germany,Female,35.0,493.0,366635.2,"404857,28",0.0,1.0,0.0,25.0,0
7821,Larionova,Spain,Male,38.0,618.0,262947.98,"193944,98",1.0,1.0,0.0,16.0,0
31148,Chiedozie,Spain,Male,23.0,595.0,10000.0,"346171,94",1.0,2.0,1.0,22.0,0
22258,Travis,France,Male,28.0,524.0,197154.6,"113341,64",1.0,1.0,1.0,4.0,0
25454,Artyomova,Spain,Male,38.0,799.0,10000.0,"128594,68",1.0,2.0,1.0,7.0,0
2302,Avdeyeva,France,,27.0,650.0,10000.0,"12004,78",1.0,2.0,0.0,19.0,0
12693,Bazarova,France,Male,33.0,752.0,10000.0,"89141,56",1.0,2.0,1.0,13.0,0
1439,Rapuokwu,France,Female,31.0,814.0,185545.04,"387032,9",1.0,1.0,0.0,19.0,0
11775,Brownlow,France,Male,38.0,534.0,10000.0,"297876,54",0.0,1.0,0.0,10.0,0
10171,Schiavone,Spain,Male,39.0,769.0,10000.0,"105445,58",1.0,1.0,1.0,28.0,0
23929,Sun,Germany,Female,37.0,636.0,324197.04,"317070,54",1.0,1.0,1.0,28.0,0
1458,Pirogov,France,Male,41.0,725.0,237960.42,"243408,5",1.0,1.0,1.0,22.0,0
18364,Chuter,Spain,Male,,619.0,10000.0,"256484,22",1.0,,1.0,25.0,0
33658,Haddon,Spain,Male,42.0,749.0,454535.26,"212217,7",0.0,1.0,0.0,28.0,1
20220,Pokrovskii,France,Female,80.0,652.0,10000.0,"387206,14",1.0,2.0,1.0,13.0,0
17058,Fyodorov,France,Female,30.0,731.0,,"389057,44",1.0,2.0,0.0,,0
23307,Kent,France,,33.0,422.0,10000.0,"215310,62",1.0,2.0,0.0,7.0,0
4235,Kozlova,,Male,30.0,644.0,99857.76,"31542,92",1.0,1.0,,16.0,0
1481,Booth,France,Male,44.0,613.0,10000.0,"282983,44",0.0,2.0,1.0,10.0,0
32317,Yobachukwu,Spain,Female,56.0,648.0,325119.18,"291982,46",1.0,2.0,0.0,19.0,1
16297,Hsueh,Spain,Female,37.0,680.0,258281.14,"195652,7",1.0,2.0,0.0,19.0,0
3579,Howe,France,Female,38.0,666.0,264086.18,"26494,0",1.0,1.0,1.0,19.0,0
24234,Campbell,Germany,Female,30.0,669.0,289745.62,"387591,7",1.0,,0.0,22.0,0
10711,Bogolyubova,France,Male,44.0,696.0,333779.58,"161124,94",0.0,1.0,0.0,25.0,0
31610,Tan,,Male,36.0,607.0,326523.36,"163489,44",1.0,1.0,1.0,25.0,0
27808,Munro,Spain,Male,37.0,531.0,296814.58,"178804,92",0.0,2.0,1.0,4.0,0
32945,Munro,France,Female,68.0,645.0,,"362707,74",1.0,4.0,1.0,28.0,1
17365,Howard,France,Male,38.0,558.0,236001.84,"315744,78",1.0,1.0,1.0,25.0,0
8983,Tretiakova,Germany,Male,69.0,810.0,64576.86,nan,1.0,1.0,1.0,10.0,0
16636,Lewis,France,Male,55.0,,,"14535,76",1.0,1.0,0.0,19.0,0
6652,Wheeler,France,Male,47.0,672.0,10000.0,"193149,84",0.0,1.0,,4.0,0
32057,Ayers,Germany,Male,52.0,521.0,242994.62,"117586,2",0.0,3.0,0.0,16.0,1
9097,Eluemuno,Germany,Female,40.0,678.0,267288.92000000004,"345346,74",0.0,1.0,0.0,25.0,0
19047,Sparks,France,Female,36.0,710.0,242170.12,"127203,22",1.0,1.0,0.0,13.0,0
16291,Yin,Spain,Female,40.0,784.0,10000.0,"227782,6",1.0,2.0,0.0,25.0,0
19895,Mao,Spain,Female,39.0,539.0,134104.56,"129510,28",0.0,1.0,1.0,19.0,0
15814,Trevisani,Germany,Male,32.0,488.0,239080.76,"195136,14",1.0,1.0,0.0,10.0,0
1214,Artemyeva,Germany,Female,35.0,711.0,,"251172,64",1.0,1.0,1.0,7.0,0
9916,Chandler,Spain,Male,,796.0,225050.14,"47020,82",1.0,1.0,0.0,25.0,0
7520,Carr,France,Male,28.0,692.0,133163.94,"150359,82",1.0,1.0,1.0,16.0,0
15131,May,Spain,Female,32.0,649.0,10000.0,"67594,64",1.0,1.0,0.0,22.0,0
22692,Ch'eng,Spain,Female,33.0,537.0,282164.0,"135493,08000000002",1.0,1.0,0.0,22.0,0
6997,Panicucci,Spain,Female,35.0,520.0,241361.62,"190561,4",1.0,1.0,1.0,13.0,0
33098,Ku,France,Female,38.0,537.0,10000.0,"114675,94",0.0,1.0,0.0,31.0,1
9153,Chikwendu,France,Male,49.0,774.0,295534.78,"26428,82",1.0,1.0,1.0,4.0,0
18810,Sung,Spain,Male,38.0,494.0,10000.0,"22407,32",1.0,2.0,1.0,22.0,0
24593,Clancy,Spain,Male,31.0,529.0,10000.0,"31251,82",1.0,1.0,0.0,19.0,0
27377,Rhodes,Germany,Male,49.0,692.0,231080.86,"224945,98",0.0,2.0,1.0,19.0,0
22017,Tomlinson,Germany,Female,39.0,799.0,344791.2,nan,0.0,2.0,1.0,22.0,0
28872,Ikemefuna,France,Female,21.0,544.0,333051.92,"28525,54",1.0,2.0,0.0,31.0,0
3131,McNaughtan,Spain,Female,47.0,771.0,155328.0,nan,1.0,2.0,1.0,10.0,0
6068,Ozioma,France,Male,40.0,629.0,10000.0,"10213,34",1.0,1.0,0.0,28.0,0
32348,Nuttall,Spain,Female,45.0,637.0,325858.9,"300268,98",1.0,1.0,1.0,7.0,1
2303,Macleod,Spain,Female,30.0,538.0,10000.0,"92385,9",1.0,2.0,1.0,25.0,0
28283,Bruno,France,Male,56.0,744.0,10000.0,"348997,22",1.0,2.0,1.0,28.0,0
4733,Marchesi,,Female,32.0,510.0,10000.0,"67030,34",0.0,2.0,1.0,4.0,0
27261,Tu,France,Female,44.0,733.0,346331.68,"404386,98",0.0,1.0,1.0,19.0,0
29004,Bishop,France,Male,26.0,514.0,10000.0,"253103,86",0.0,2.0,0.0,4.0,0
15571,Ch'eng,France,Female,26.0,850.0,,"368730,2",0.0,2.0,1.0,13.0,0
17585,Madukwe,Spain,Female,21.0,485.0,236314.44,"118283,0",1.0,1.0,1.0,16.0,0
20428,Chu,Germany,Female,42.0,788.0,287300.98,"139492,14",1.0,,0.0,19.0,0
1231,Morant,Spain,Female,33.0,633.0,195710.04,"329626,36",1.0,1.0,1.0,13.0,0
32232,Campbell,Germany,Male,39.0,350.0,229466.4,"257204,22",0.0,2.0,0.0,1.0,1
14513,Norton,Spain,Male,26.0,471.0,10000.0,"369311,74",,2.0,1.0,25.0,0
16594,Shen,Germany,Female,46.0,688.0,158916.5,"23732,620000000003",0.0,1.0,1.0,1.0,0
14831,Hudson,Germany,Male,43.0,697.0,240743.88,"138278,2",1.0,2.0,0.0,22.0,0
8164,Anayolisa,France,Female,19.0,781.0,10000.0,"258594,64",1.0,2.0,1.0,10.0,0
12618,Knipe,France,Male,58.0,707.0,189371.84,"262942,26",0.0,1.0,1.0,19.0,0
27386,Fu,France,Male,54.0,684.0,10000.0,"199777,2",1.0,2.0,1.0,19.0,0
30406,Ajuluchukwu,Germany,Male,41.0,704.0,134156.41999999998,"268101,34",1.0,2.0,0.0,28.0,0
21108,Mills,France,Male,44.0,737.0,,"125797,16",0.0,2.0,0.0,22.0,0
5871,Ch'iu,Spain,Male,35.0,,285897.02,"237279,28",1.0,1.0,0.0,13.0,0
5835,Nwachukwu,France,Male,34.0,528.0,261133.8,"363526,54",1.0,1.0,1.0,4.0,0
20079,Zhdanova,France,Male,22.0,550.0,318754.6,"113443,04",1.0,1.0,1.0,19.0,0
2935,Sidorova,France,Male,36.0,713.0,277778.7,"296531,3",1.0,,1.0,25.0,0
10244,Pugliesi,Germany,Male,37.0,795.0,288531.26,"407491,88",1.0,2.0,1.0,7.0,0
22232,Jackson,France,Male,34.0,712.0,238176.64,"195589,22",1.0,1.0,0.0,,0
24911,Woronoff,Germany,,38.0,745.0,140190.82,"290394,84",1.0,2.0,1.0,,0
2336,Banks,France,Male,34.0,557.0,176148.0,"275346,44",1.0,1.0,0.0,10.0,0
14605,Chiemenam,France,Female,30.0,605.0,280844.62,"382837,7",0.0,1.0,1.0,28.0,0
23652,Yen,France,Male,35.0,721.0,10000.0,"153188,52",1.0,,0.0,31.0,0
14129,Anenechukwu,France,Male,37.0,577.0,264522.7,"122370,1",1.0,1.0,0.0,7.0,0
13725,Diribe,France,Female,58.0,,190045.7,"15976,56",0.0,1.0,1.0,4.0,0
5216,Ricci,France,Female,51.0,762.0,208573.96,"181157,26",0.0,1.0,1.0,10.0,0
17567,Victor,France,Male,36.0,666.0,10000.0,nan,1.0,2.0,0.0,,0
22722,Doherty,France,Male,30.0,724.0,10000.0,"118531,1",1.0,2.0,1.0,31.0,0
6480,Black,France,Female,27.0,769.0,10000.0,"125752,1",1.0,1.0,1.0,7.0,0
6032,Costa,Germany,Male,37.0,,246101.58,"114602,3",0.0,1.0,1.0,19.0,0
15611,Giordano,Spain,Female,36.0,717.0,339115.9,"174673,46",0.0,1.0,1.0,7.0,0
5189,Wan,France,Female,47.0,850.0,284603.74,"98703,54",1.0,1.0,0.0,28.0,0
505,Tang,Germany,Female,42.0,783.0,289414.56,"14300,44",1.0,1.0,0.0,7.0,0
17857,Stevens,Spain,Male,41.0,553.0,299949.1,"48689,84",1.0,1.0,1.0,19.0,0
8163,Sorokina,France,Female,39.0,595.0,282844.82,"313515,62",1.0,1.0,1.0,28.0,0
9263,Grant,France,Male,,553.0,10000.0,"259193,26",0.0,2.0,0.0,19.0,0
12404,Neumann,Spain,Male,38.0,565.0,254895.52,"144678,68",0.0,1.0,0.0,,0
30140,Pisano,France,Male,35.0,551.0,269434.6,"183874,4",0.0,2.0,0.0,22.0,0
25807,Fields,Germany,Female,68.0,834.0,270338.54000000004,"196224,4",0.0,2.0,1.0,28.0,0
12784,Morrison,Germany,Female,29.0,712.0,304398.14,"179864,8",1.0,1.0,1.0,22.0,0
18091,Iheatu,France,Male,,500.0,228325.64,"262290,16000000003",1.0,1.0,,7.0,0
28869,Keating,France,Male,37.0,502.0,10000.0,"163285,36",1.0,1.0,1.0,31.0,0
26332,Akubundu,France,Female,30.0,608.0,10000.0,"267751,72",1.0,2.0,0.0,25.0,0
23920,Fowler,Spain,Male,41.0,638.0,10000.0,"97778,82",1.0,2.0,0.0,22.0,0
3476,Reynolds,Spain,Female,33.0,597.0,10000.0,"19401,32",1.0,2.0,1.0,7.0,0
25184,Anenechi,Spain,Male,31.0,663.0,216860.22,"82958,54",0.0,2.0,1.0,13.0,0
6687,Muravyova,Germany,Female,61.0,713.0,309050.68,"257327,26",1.0,2.0,0.0,13.0,0
8246,Azuka,France,Male,36.0,593.0,150362.96,"171216,24",1.0,2.0,0.0,7.0,0
30068,Martin,Spain,Male,36.0,622.0,10000.0,"219705,2",,2.0,1.0,28.0,0
17438,Steele,Spain,Male,36.0,746.0,10000.0,"42873,12",1.0,,1.0,7.0,0
5172,Phillips,France,Male,31.0,590.0,234423.22,"62522,84",1.0,1.0,0.0,25.0,0
33279,Ifeatu,France,Male,66.0,569.0,10000.0,"271568,4",1.0,1.0,0.0,7.0,1
5361,Lombardo,Germany,Male,28.0,,243246.62,"129810,58",0.0,1.0,1.0,7.0,0
30429,Hawkins,Spain,Female,40.0,739.0,10000.0,"344061,02",1.0,1.0,0.0,25.0,0
1367,Howells,Spain,Male,27.0,698.0,260854.74,"65308,88",0.0,2.0,0.0,19.0,0
33119,Savage,Germany,Male,47.0,575.0,225831.88,"136904,36",1.0,2.0,1.0,,1
15526,Azubuike,France,Male,29.0,548.0,176885.96,"364034,78",0.0,1.0,1.0,16.0,0
22583,Lin,France,Female,41.0,678.0,10000.0,"36320,06",0.0,1.0,0.0,28.0,0
23029,Yang,Spain,Female,32.0,665.0,10000.0,"54974,9",1.0,1.0,1.0,31.0,0
22710,Burns,Spain,Male,29.0,649.0,100044.46,"356991,54",1.0,1.0,1.0,7.0,0
1749,Fetherstonhaugh,France,Female,29.0,507.0,188698.94,"371253,36",0.0,2.0,0.0,13.0,0
28516,Chineze,France,Male,35.0,631.0,234784.9,"58944,46",1.0,2.0,,28.0,0
4120,Mitchell,Spain,Female,46.0,633.0,10000.0,"250501,16",1.0,,0.0,10.0,0
25323,Monds,Spain,Female,29.0,781.0,207519.78,"234405,28",0.0,1.0,,19.0,0
30458,Doyne,Spain,Female,48.0,605.0,310631.84,"276972,72",0.0,1.0,1.0,31.0,0
11279,Giordano,,Female,50.0,,212485.96,"34987,22",1.0,2.0,0.0,16.0,0
20312,Percy,Germany,Male,48.0,477.0,268500.0,"325874,7",1.0,2.0,1.0,25.0,0
2237,Connor,Spain,Female,,631.0,10000.0,"185919,66",0.0,1.0,0.0,1.0,0
19499,Peng,Spain,,40.0,691.0,10000.0,"301226,34",1.0,2.0,1.0,4.0,0
18403,Eiland,Spain,Male,22.0,,10000.0,"298771,08",1.0,1.0,1.0,10.0,0
5858,MacDonald,Spain,Female,43.0,774.0,242720.14,"44008,28",1.0,1.0,0.0,4.0,0
14255,Cummins,France,Female,64.0,,10000.0,"22153,24",1.0,1.0,1.0,7.0,0
31620,Muomelu,Germany,Male,29.0,659.0,175832.96,"178266,96",1.0,1.0,1.0,28.0,0
