Surname,Pays,Sexe,Age,Score_Credit,Avoirs,Revenus_annuels,Carte_Platine,Nb_Contrats_Vie,Client_Patrimonial,Anciennete,Resiliation
Bianchi,Spain,Male,36.0,,165820.46,144476.02,1.0,1.0,0.0,10.0,0
Coles,Spain,Male,,809.0,10000.0,258091.3,1.0,1.0,1.0,28.0,0
Grave,Spain,Female,46.0,512.0,10000.0,122816.28,,2.0,1.0,10.0,0
Azarov,,Female,29.0,516.0,219965.14,324757.0,1.0,1.0,0.0,,0
Mackay,France,Male,59.0,583.0,264900.28,145105.42,0.0,1.0,1.0,22.0,0
Page,France,Male,42.0,733.0,311014.42,349928.24,0.0,1.0,1.0,28.0,0
Tien,France,Male,34.0,663.0,10000.0,370854.48,1.0,2.0,1.0,22.0,0
Johnston,,Male,43.0,850.0,268610.18,,0.0,2.0,1.0,16.0,0
Sinclair,France,Female,38.0,518.0,179529.58,334507.8,1.0,1.0,,31.0,0
Tudawali,France,Female,41.0,521.0,10000.0,236178.86,1.0,2.0,1.0,7.0,0
Knepper,Germany,Female,34.0,591.0,311270.6,154549.68,,1.0,1.0,13.0,0
Goliwe,Germany,Male,37.0,543.0,291788.12,246118.38,1.0,2.0,1.0,25.0,0
Lung,,Male,31.0,652.0,248297.1,309480.44,0.0,1.0,,7.0,0
Ndubueze,France,Male,34.0,715.0,258628.9,205565.84,0.0,1.0,0.0,13.0,0
Carruthers,France,Male,26.0,661.0,10000.0,,0.0,2.0,0.0,25.0,0
Benson,Germany,Female,56.0,586.0,211563.5,118896.82,1.0,2.0,1.0,28.0,0
Morgan,,Female,32.0,754.0,10000.0,189041.5,1.0,2.0,0.0,22.0,0
Chao,Spain,Female,63.0,689.0,10000.0,383052.24,1.0,2.0,1.0,4.0,0
Moran,France,Male,36.0,666.0,250330.8,77403.0,1.0,2.0,0.0,13.0,0
Perkins,France,Female,37.0,584.0,10000.0,370727.12,1.0,2.0,1.0,4.0,0
Arnold,Germany,Male,70.0,667.0,164713.84,51763.92,1.0,2.0,1.0,10.0,0
Standish,France,Male,31.0,717.0,269445.14,92353.2,0.0,1.0,0.0,13.0,0
Pollard,,Male,37.0,633.0,293092.7,259660.22,1.0,1.0,1.0,22.0,0
She,Germany,Male,31.0,,303174.6,189749.64,1.0,1.0,1.0,13.0,0
White,France,Female,46.0,,10000.0,261924.04,1.0,2.0,1.0,1.0,0
Humphreys,Germany,Male,35.0,781.0,195052.3,,1.0,2.0,1.0,22.0,0
Fleming,Spain,Male,37.0,609.0,268625.58,63587.64,1.0,1.0,,16.0,0
Wei,Spain,Male,32.0,668.0,278892.08,232482.74,0.0,1.0,1.0,4.0,0
Larkin,France,Male,30.0,588.0,240014.16,363717.0,0.0,1.0,,10.0,0
Olisaemeka,France,Male,39.0,665.0,102647.14,283624.04,1.0,1.0,0.0,31.0,0
Iredale,Germany,Male,68.0,557.0,210388.88,87192.68,1.0,1.0,1.0,7.0,0
Hsiung,Germany,Male,,841.0,244140.42,236964.4,1.0,1.0,0.0,7.0,0
Fang,Spain,Female,39.0,695.0,10000.0,215527.38,0.0,2.0,0.0,16.0,0
Thompson,Spain,Male,31.0,569.0,,301056.44,0.0,1.0,0.0,4.0,0
Ballard,Germany,Female,25.0,604.0,325561.68,126853.62,1.0,2.0,1.0,16.0,0
Loyau,France,,36.0,752.0,249824.92,258709.84,1.0,1.0,0.0,7.0,0
Sullivan,,Male,36.0,628.0,10000.0,27485.82,1.0,2.0,1.0,10.0,0
Cocci,France,Male,40.0,613.0,10000.0,312650.48,0.0,1.0,0.0,13.0,0
Abdulov,Spain,Female,36.0,667.0,253085.14,383683.42,1.0,2.0,,10.0,0
Huggins,Germany,Female,39.0,798.0,249575.52,338496.66,1.0,1.0,1.0,19.0,0
Ting,Germany,Female,30.0,492.0,164337.74,303400.44,0.0,2.0,,31.0,0
Moore,France,Male,43.0,683.0,10000.0,203509.6,1.0,1.0,0.0,25.0,0
Hsia,,Male,36.0,543.0,10000.0,292421.0,1.0,2.0,1.0,13.0,0
Sutherland,Spain,Male,25.0,730.0,344771.62,122615.02,1.0,1.0,1.0,16.0,0
Claypool,France,Female,37.0,677.0,10000.0,86504.5,,2.0,1.0,10.0,0
Miah,France,Female,35.0,617.0,219016.2,,1.0,1.0,1.0,7.0,0
Li,France,Male,48.0,723.0,10000.0,311389.16,1.0,2.0,1.0,22.0,0
Lin,France,Male,32.0,593.0,208324.58,266768.22,1.0,1.0,0.0,19.0,0
Dalrymple,Germany,Female,38.0,593.0,295316.08,280674.22,0.0,2.0,1.0,16.0,0
Chinonyelum,,,66.0,615.0,10000.0,159161.6,1.0,2.0,1.0,22.0,0
Ignatieff,,Female,23.0,665.0,297345.8,240294.66,1.0,1.0,1.0,28.0,0
Yuan,Spain,Female,21.0,,181636.36,276204.6,1.0,1.0,1.0,4.0,0
Shaw,France,Female,36.0,841.0,322042.62,255325.96,0.0,1.0,0.0,16.0,0
Fleming,Spain,Female,43.0,696.0,10000.0,142812.74,1.0,2.0,1.0,13.0,0
Taylor,Germany,Male,42.0,608.0,,152356.18,1.0,2.0,0.0,25.0,0
Tsao,Germany,Male,44.0,540.0,338226.08,34241.58,1.0,2.0,1.0,10.0,0
Wan,Spain,Male,31.0,577.0,10000.0,402790.5,1.0,1.0,,19.0,0
Wilson,Spain,Female,,763.0,200307.54,172620.2,,1.0,1.0,31.0,0
Boyle,France,Female,32.0,528.0,181231.32,322384.86,1.0,2.0,0.0,13.0,0
Barry,Germany,Male,26.0,757.0,253163.12,264118.08,1.0,2.0,1.0,25.0,0
Wood,Spain,,50.0,741.0,167475.22,36037.92,1.0,1.0,1.0,4.0,0
Watson,France,Female,35.0,615.0,204880.04,289632.2,1.0,2.0,1.0,7.0,0
Stevens,France,Male,28.0,703.0,172347.66,335624.32,0.0,2.0,1.0,7.0,0
Walker,Spain,Female,30.0,653.0,186486.58,203316.52,1.0,2.0,,7.0,0
Chikere,France,Male,35.0,629.0,354340.72,,1.0,1.0,1.0,4.0,0
Fan,France,Male,40.0,664.0,261217.44,254146.96,1.0,1.0,0.0,22.0,0
Morris,France,Female,37.0,709.0,10000.0,43467.18,1.0,2.0,0.0,28.0,0
Froggatt,Germany,Male,36.0,626.0,373342.32,,1.0,2.0,1.0,7.0,0
Yeh,Spain,Male,41.0,772.0,202064.44,161651.14,1.0,1.0,1.0,31.0,0
Chinedum,,Male,34.0,726.0,10000.0,402576.92,1.0,2.0,0.0,10.0,0
Fiorentino,France,Female,81.0,711.0,10000.0,154552.48,1.0,2.0,1.0,19.0,0
Akobundu,,Female,37.0,611.0,10000.0,231565.76,1.0,2.0,0.0,19.0,0
McMillan,Germany,Female,40.0,796.0,209491.9,365048.38,1.0,,0.0,4.0,0
Mills,France,Female,,701.0,10000.0,301789.8,0.0,2.0,1.0,28.0,0
Rickards,Germany,Female,30.0,547.0,154784.82,164154.28,1.0,1.0,,28.0,0
Horsley,Spain,Male,29.0,509.0,10000.0,148226.28,1.0,2.0,0.0,4.0,0
Forbes,Spain,Male,46.0,507.0,195567.36,112848.58,1.0,,1.0,19.0,0
Davison,France,Male,32.0,629.0,10000.0,165930.88,0.0,2.0,1.0,7.0,0
Muir,France,Male,31.0,828.0,10000.0,338514.74,0.0,,1.0,28.0,0
Cheng,Spain,Male,51.0,534.0,10000.0,51712.62,0.0,2.0,1.0,10.0,0
Zaytseva,Spain,Female,38.0,624.0,10000.0,,,2.0,0.0,25.0,0
Coates,Germany,Male,25.0,501.0,218027.58,239548.7,1.0,,,19.0,0
Hunter,Spain,Male,44.0,811.0,10000.0,166879.46,0.0,2.0,1.0,10.0,0
Page,France,Male,42.0,733.0,311014.42,349928.24,0.0,1.0,1.0,28.0,0
Brady,Spain,Male,38.0,850.0,199304.08,353921.52,1.0,1.0,1.0,7.0,0
Johnston,Spain,Male,31.0,660.0,,285568.5,1.0,1.0,1.0,4.0,0
